,0-24,25-44,45-64,65-74,75-84,85+,Total known,Total unknown,Total
10.03.2020,,,,,,,,,
11.03.2020,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0
12.03.2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
13.03.2020,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0
14.03.2020,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,5.0
15.03.2020,0.0,0.0,0.0,3.0,1.0,2.0,6.0,0.0,6.0
16.03.2020,0.0,0.0,0.0,3.0,3.0,5.0,11.0,0.0,11.0
17.03.2020,0.0,0.0,0.0,1.0,4.0,5.0,10.0,0.0,10.0
18.03.2020,0.0,1.0,1.0,2.0,7.0,11.0,22.0,0.0,22.0
19.03.2020,0.0,0.0,0.0,9.0,7.0,17.0,33.0,0.0,33.0
20.03.2020,0.0,0.0,5.0,4.0,5.0,21.0,35.0,0.0,35.0
21.03.2020,0.0,1.0,3.0,5.0,14.0,17.0,40.0,0.0,40.0
22.03.2020,0.0,1.0,5.0,6.0,11.0,24.0,47.0,0.0,47.0
23.03.2020,0.0,0.0,10.0,9.0,25.0,34.0,78.0,0.0,78.0
24.03.2020,0.0,0.0,3.0,15.0,21.0,37.0,76.0,0.0,76.0
25.03.2020,0.0,1.0,8.0,18.0,33.0,47.0,107.0,0.0,107.0
26.03.2020,0.0,1.0,5.0,13.0,34.0,49.0,102.0,0.0,102.0
27.03.2020,0.0,0.0,9.0,17.0,38.0,64.0,128.0,0.0,128.0
28.03.2020,0.0,0.0,6.0,17.0,53.0,65.0,141.0,0.0,141.0
29.03.2020,0.0,1.0,2.0,25.0,55.0,66.0,149.0,0.0,149.0
30.03.2020,1.0,0.0,12.0,10.0,55.0,92.0,170.0,0.0,170.0
31.03.2020,0.0,1.0,12.0,24.0,69.0,101.0,207.0,1.0,208.0
01.04.2020,0.0,1.0,15.0,21.0,74.0,121.0,232.0,0.0,232.0
02.04.2020,0.0,0.0,13.0,40.0,57.0,109.0,219.0,0.0,219.0
03.04.2020,0.0,0.0,11.0,27.0,73.0,125.0,236.0,0.0,236.0
04.04.2020,0.0,1.0,12.0,22.0,92.0,139.0,266.0,4.0,270.0
05.04.2020,0.0,3.0,10.0,37.0,66.0,130.0,246.0,0.0,246.0
06.04.2020,0.0,1.0,11.0,29.0,72.0,144.0,257.0,0.0,257.0
07.04.2020,0.0,2.0,12.0,25.0,94.0,144.0,277.0,0.0,277.0
08.04.2020,0.0,1.0,12.0,31.0,99.0,178.0,321.0,0.0,321.0
09.04.2020,0.0,1.0,12.0,26.0,81.0,151.0,271.0,0.0,271.0
10.04.2020,0.0,0.0,11.0,26.0,99.0,166.0,302.0,0.0,302.0
11.04.2020,0.0,0.0,16.0,27.0,75.0,165.0,283.0,2.0,285.0
12.04.2020,0.0,1.0,18.0,24.0,81.0,141.0,265.0,0.0,265.0
13.04.2020,0.0,1.0,17.0,26.0,82.0,151.0,277.0,0.0,277.0
14.04.2020,0.0,1.0,12.0,18.0,90.0,140.0,261.0,0.0,261.0
15.04.2020,0.0,0.0,15.0,31.0,65.0,167.0,278.0,2.0,280.0
16.04.2020,0.0,0.0,7.0,25.0,72.0,141.0,245.0,1.0,246.0
17.04.2020,0.0,0.0,8.0,31.0,40.0,126.0,205.0,0.0,205.0
18.04.2020,0.0,1.0,8.0,29.0,50.0,120.0,208.0,0.0,208.0
19.04.2020,0.0,1.0,3.0,14.0,61.0,111.0,190.0,0.0,190.0
20.04.2020,0.0,1.0,9.0,21.0,64.0,110.0,205.0,1.0,206.0
21.04.2020,0.0,0.0,5.0,18.0,53.0,127.0,203.0,0.0,203.0
22.04.2020,0.0,0.0,11.0,14.0,56.0,100.0,181.0,0.0,181.0
23.04.2020,0.0,0.0,10.0,21.0,30.0,95.0,156.0,0.0,156.0
24.04.2020,0.0,0.0,8.0,20.0,41.0,86.0,155.0,0.0,155.0
25.04.2020,0.0,1.0,7.0,20.0,43.0,70.0,141.0,1.0,142.0
26.04.2020,0.0,1.0,13.0,13.0,46.0,80.0,153.0,1.0,154.0
27.04.2020,0.0,0.0,9.0,16.0,31.0,79.0,135.0,0.0,135.0
28.04.2020,0.0,0.0,6.0,19.0,30.0,55.0,110.0,0.0,110.0
29.04.2020,0.0,1.0,6.0,10.0,15.0,75.0,107.0,0.0,107.0
30.04.2020,0.0,1.0,5.0,8.0,17.0,56.0,87.0,0.0,87.0
01.05.2020,0.0,0.0,4.0,17.0,22.0,50.0,93.0,0.0,93.0
02.05.2020,0.0,2.0,4.0,7.0,19.0,43.0,75.0,0.0,75.0
03.05.2020,0.0,0.0,6.0,16.0,29.0,43.0,94.0,0.0,94.0
04.05.2020,0.0,0.0,4.0,11.0,22.0,58.0,95.0,0.0,95.0
05.05.2020,0.0,0.0,1.0,10.0,22.0,46.0,79.0,2.0,81.0
06.05.2020,0.0,0.0,3.0,12.0,16.0,45.0,76.0,0.0,76.0
07.05.2020,0.0,0.0,4.0,8.0,15.0,44.0,71.0,0.0,71.0
